period,value
1106,478.060102429
1107,489.386755284
1108,461.998354422
1109,435.311078589
1110,430.436886791
1111,430.123958891
1112,442.950205098
1113,434.390192621
1114,412.389207428
1115,413.057988331
1116,389.963817643
1117,385.007518634
1118,393.118290972
1119,386.57773961
1120,360.679304975
1121,366.576126845
1122,370.276246153
1123,361.141914049
1124,336.000140599
1125,319.380947633
1126,323.17263879
1127,332.746031364
1128,315.392363406
1129,312.901011912
1130,289.266737055
1131,303.2431629
1132,282.296505934
1133,309.653250271
1134,293.009533301
1135,298.064089696
1136,286.12251895
1137,296.27696303
1138,278.907422437
1139,278.253654787
1140,252.473047968
1141,282.993625555
1142,279.704087775
1143,259.607811658
1144,275.84223502
1145,236.86304309
1146,247.203645878
1147,234.926051952
1148,246.905805824
1149,232.881329082
1150,253.377907592
1151,236.189954379
1152,242.664541886
1153,240.010291159
1154,231.590518394
1155,239.744284527
1156,239.744520573
1157,268.858139314
1158,274.168578081
1159,264.17045238
1160,246.087261604
1161,275.706391286
1162,253.785602395
1163,272.623929615
1164,264.432249894
1165,287.394588721
1166,276.82875197
1167,261.600843709
1168,267.27049507
1169,302.927081404
1170,290.602671034
1171,311.750265229
1172,316.396163101
1173,300.758224449
1174,295.251699093
1175,308.518413052
1176,302.040083118
1177,331.31278885
1178,343.797630287
1179,325.95509973
1180,346.001619607
1181,365.102933079
1182,342.751030557
1183,340.837588748
1184,355.905868765
1185,383.038911541
1186,374.804247651
1187,398.457977762
1188,379.323988789
1189,411.072297544
1190,394.933980837
1191,435.461033138
1192,430.670142558
1193,441.941659383
1194,433.011654123
1195,454.966321426
1196,470.661630208
1197,485.650015427
1198,481.739292714
1199,493.871452541
1200,498.129705062
1201,499.873542559
1202,528.681936366
1203,529.969584056
1204,554.115947166
1205,548.368000421
1206,570.947381735
1207,567.174638489
1208,561.132439454
1209,590.292563082
1210,589.55110595
1211,628.987503951
1212,631.261236979
1213,632.517183937
1214,657.923778081
1215,640.030231623
1216,651.204495838
1217,677.711979592
1218,703.977484442
1219,689.494959694
1220,701.838268513
1221,715.340581908
1222,726.993642376
1223,751.571629582
1224,753.83630469
1225,753.53531796
1226,771.810558832
1227,792.044195198
1228,806.172477219
1229,807.86649419
1230,817.904605045
1231,814.514627213
1232,838.831774362
1233,863.915047069
1234,862.852527359
1235,878.340652192
1236,877.849115227
1237,899.25372736
1238,904.232700502
1239,917.704592599
1240,922.615751248
1241,949.705646517
1242,929.584856231
1243,961.240039403
1244,959.019007964
1245,960.356571642
1246,974.666467293
1247,972.621776367
1248,1005.0490861
1249,1000.58247565
1250,1022.42610505
1251,1014.76019202
1252,1054.66048464
1253,1054.29432587
1254,1037.7888587
1255,1055.39523824
1256,1088.56816839
1257,1082.69440613
1258,1080.21480245
1259,1109.5745299
1260,1117.48726092
1261,1102.57005118
1262,1103.00644572
1263,1136.62639804
1264,1121.67638072
1265,1130.16553465
1266,1158.26573087
1267,1160.99537043
1268,1165.82322867
1269,1159.44193818
1270,1165.82994465
1271,1179.28317823
1272,1197.20729891
1273,1168.79068548
1274,1180.18529651
1275,1182.93235587
1276,1186.36843042
1277,1217.03231483
1278,1192.20357844
1279,1202.35345584
1280,1221.28618299
1281,1241.53799884
1282,1235.34120442
1283,1216.39308007
1284,1235.54375268
1285,1236.27561161
1286,1227.99250549
1287,1228.60705287
1288,1259.47539192
1289,1236.03833587
1290,1251.5637813
1291,1228.80172702
1292,1248.8577777
1293,1236.96407181
1294,1244.99158719
1295,1258.51636965
1296,1240.68213237
1297,1251.5447143
1298,1258.99795457
1299,1232.97953803
1300,1241.35273598
1301,1232.71355153
1302,1239.9775365
1303,1257.61085529
1304,1240.994694
1305,1233.61096193
1306,1250.68550623
1307,1245.30729766
1308,1217.55677407
1309,1231.73351577
1310,1237.39035922
1311,1212.47221536
1312,1230.97864213
1313,1233.60332641
1314,1210.17596605
1315,1192.68599197
1316,1183.96595512
1317,1189.30488734
1318,1190.33327882
1319,1174.71934046
1320,1167.03280391
1321,1189.83909929
1322,1165.7652963
1323,1162.00462608
1324,1177.39779179
1325,1144.86898781
1326,1143.0752148
1327,1139.76764444
1328,1151.99742602
1329,1144.24782385
1330,1123.57995414
1331,1118.62628619
1332,1087.82532569
1333,1110.00578948
1334,1091.73266735
1335,1090.17182597
1336,1054.46923167
1337,1081.35931448
1338,1044.68231482
1339,1036.72549905
1340,1040.79234739
1341,1026.0574923
1342,1012.21833601
1343,995.227381075
1344,1017.66225639
1345,976.776532455
1346,977.997361008
1347,958.803588927
1348,971.324960134
1349,962.8800888
1350,945.808931833
1351,940.957956254
1352,909.503803992
1353,923.198858557
1354,918.92441455
1355,896.140955777
1356,875.945457905
1357,875.661338375
1358,872.419297687
1359,858.468183014
1360,836.393086766
1361,829.617858557
1362,828.221875961
1363,802.908471921
1364,775.140504576
1365,779.692424065
1366,761.362778484
1367,755.348494731
1368,737.426896889
1369,730.581018329
1370,736.209516925
